experiment_id,hidden_sizes,learning_rate,batch_size,activation,init_scale,num_layers,total_neurons,avg_neurons,final_train_loss,final_val_loss,final_train_acc,final_val_acc,overfitting_gap
124,"[15, 15]",0.01,16,sigmoid,0.05,2,30,15.0,0.6931664946463021,0.6931697233842897,0.5,0.5,0.0
125,"[15, 15]",0.01,16,sigmoid,0.1,2,30,15.0,0.6931426033339425,0.6931729367810937,0.5,0.5,0.0
126,"[15, 15]",0.01,16,sigmoid,0.5,2,30,15.0,0.6597855819538226,0.6585433254809631,0.724390243902439,0.7195121951219512,0.004878048780487809
127,"[15, 15]",0.05,4,relu,0.05,2,30,15.0,0.09014792645158111,0.12269358563969687,0.975609756097561,0.975609756097561,0.0
128,"[15, 15]",0.05,4,relu,0.1,2,30,15.0,0.09228811575070311,0.11062242745926402,0.975609756097561,0.975609756097561,0.0
129,"[15, 15]",0.05,4,relu,0.5,2,30,15.0,0.0792257237621951,0.14965146893664988,0.975609756097561,0.975609756097561,0.0
130,"[15, 15]",0.05,4,sigmoid,0.05,2,30,15.0,0.69727262382569,0.6972800453233206,0.5,0.5,0.0
131,"[15, 15]",0.05,4,sigmoid,0.1,2,30,15.0,0.6972678520016289,0.6973803190935963,0.5,0.5,0.0
132,"[15, 15]",0.05,4,sigmoid,0.5,2,30,15.0,0.1000825446340099,0.12312346037605203,0.975609756097561,0.975609756097561,0.0
133,"[15, 15]",0.05,8,relu,0.05,2,30,15.0,0.0912245039273396,0.11924503493227875,0.975609756097561,0.975609756097561,0.0
134,"[15, 15]",0.05,8,relu,0.1,2,30,15.0,0.09026800541322093,0.12069947562088618,0.975609756097561,0.975609756097561,0.0
135,"[15, 15]",0.05,8,relu,0.5,2,30,15.0,0.08062163199249736,0.1578838245885604,0.975609756097561,0.975609756097561,0.0
136,"[15, 15]",0.05,8,sigmoid,0.05,2,30,15.0,0.6936749306905,0.6936810841837516,0.5,0.5,0.0
137,"[15, 15]",0.05,8,sigmoid,0.1,2,30,15.0,0.6936001529831095,0.6936950831891415,0.5,0.5,0.0
138,"[15, 15]",0.05,8,sigmoid,0.5,2,30,15.0,0.12083879642433622,0.1238590364836773,0.975609756097561,0.975609756097561,0.0
139,"[15, 15]",0.05,16,relu,0.05,2,30,15.0,0.10182246135094217,0.12219139505958182,0.975609756097561,0.975609756097561,0.0
140,"[15, 15]",0.05,16,relu,0.1,2,30,15.0,0.09613978103535019,0.11347347250105753,0.975609756097561,0.975609756097561,0.0
141,"[15, 15]",0.05,16,relu,0.5,2,30,15.0,0.08840578632015524,0.1343803534730028,0.975609756097561,0.975609756097561,0.0
142,"[15, 15]",0.05,16,sigmoid,0.05,2,30,15.0,0.6961062555791206,0.6961111515094016,0.5,0.5,0.0
143,"[15, 15]",0.05,16,sigmoid,0.1,2,30,15.0,0.6961614862878521,0.6962266643842937,0.5,0.5,0.0
144,"[15, 15]",0.05,16,sigmoid,0.5,2,30,15.0,0.20796305583283362,0.18385092589815277,0.9414634146341463,0.9512195121951219,-0.009756097560975618
145,"[15, 15]",0.1,4,relu,0.05,2,30,15.0,0.08274186233039883,0.17070145014675453,0.975609756097561,0.975609756097561,0.0
146,"[15, 15]",0.1,4,relu,0.1,2,30,15.0,0.08784570117847483,0.14232666822914578,0.975609756097561,0.975609756097561,0.0
147,"[15, 15]",0.1,4,relu,0.5,2,30,15.0,0.0790323664322093,0.18799402723699157,0.975609756097561,0.975609756097561,0.0
148,"[15, 15]",0.1,4,sigmoid,0.05,2,30,15.0,0.6980903631556469,0.6980923505257213,0.5,0.5,0.0
149,"[15, 15]",0.1,4,sigmoid,0.1,2,30,15.0,0.6980972950773032,0.6981366530327977,0.5,0.5,0.0
150,"[15, 15]",0.1,4,sigmoid,0.5,2,30,15.0,0.09383992651000257,0.12408476166883342,0.975609756097561,0.975609756097561,0.0
151,"[15, 15]",0.1,8,relu,0.05,2,30,15.0,0.08685163714100783,0.13976060278045022,0.975609756097561,0.975609756097561,0.0
152,"[15, 15]",0.1,8,relu,0.1,2,30,15.0,0.08659658765177958,0.13990034979905308,0.975609756097561,0.975609756097561,0.0
153,"[15, 15]",0.1,8,relu,0.5,2,30,15.0,0.08287767582110875,0.14147472388634846,0.975609756097561,0.975609756097561,0.0
154,"[15, 15]",0.1,8,sigmoid,0.05,2,30,15.0,0.6936835408976066,0.6936889847484589,0.5,0.5,0.0
155,"[15, 15]",0.1,8,sigmoid,0.1,2,30,15.0,0.6936162815780954,0.6937074774230249,0.5,0.5,0.0
156,"[15, 15]",0.1,8,sigmoid,0.5,2,30,15.0,0.10010804019990896,0.12325413416820097,0.975609756097561,0.975609756097561,0.0
157,"[15, 15]",0.1,16,relu,0.05,2,30,15.0,0.09261053129291366,0.12362176169317689,0.975609756097561,0.975609756097561,0.0
158,"[15, 15]",0.1,16,relu,0.1,2,30,15.0,0.09655073058907722,0.09968559746388651,0.975609756097561,0.975609756097561,0.0
159,"[15, 15]",0.1,16,relu,0.5,2,30,15.0,0.08014727595560302,0.1585395122496841,0.975609756097561,0.975609756097561,0.0
160,"[15, 15]",0.1,16,sigmoid,0.05,2,30,15.0,0.6997126739344335,0.6997185927522309,0.5,0.5,0.0
161,"[15, 15]",0.1,16,sigmoid,0.1,2,30,15.0,0.6998109054316152,0.6999115358840908,0.5,0.5,0.0
162,"[15, 15]",0.1,16,sigmoid,0.5,2,30,15.0,0.12072607495997774,0.12382278463634179,0.975609756097561,0.975609756097561,0.0
